PV dadobruto dadofapk Escrita ModoOperacao ValorDesejado CicloInicio CicloFim
2 39732 39732 65535 1 65535 5324033300349 5324033368749
21 39596 39596 65535 1 65535 5324533242469 5324533329109
89 39594 39594 65535 1 65535 5325033233229 5325033319869
260 39646 39646 65535 1 65535 5325533236149 5325533319749
593 39563 39563 65535 1 65535 5326033242109 5326033328749
1146 39618 39618 65535 1 65535 5326533237429 5326533327109
1964 39615 39615 65535 1 65535 5327033231229 5327033311789
3079 39592 39592 65535 1 65535 5327533238709 5327533322309
4507 39517 39517 65535 1 65535 5328033230989 5328033302429
6247 39591 39591 65535 1 65535 5328533227829 5328533306869
8279 39531 39531 65535 1 65535 5329033236829 5329033320429
10573 39594 39594 65535 1 65535 5329533235189 5329533315749
13085 39606 39606 65535 1 65535 5330033227469 5330033303469
15764 39628 39628 65535 1 65535 5330533234949 5330533318549
18553 39492 39492 65535 1 65535 5331033234829 5331033313869
21393 39583 39583 65535 1 65535 5331533239269 5331533327429
24226 39560 39560 33000 1 33000 5332033236109 5332033315149
26995 39599 39599 33000 1 33000 5332533235989 5332533321109
29648 39531 39531 33000 1 33000 5333033228269 5333033301229
32140 39688 39688 33000 1 33000 5333533229669 5333533308709
34434 39472 39472 33000 1 33000 5334033237149 5334033316189
36500 39593 39593 33000 1 33000 5334533233989 5334533319109
38317 39602 39602 33000 1 33000 5335033224749 5335033299229
39871 39746 39746 33000 1 33000 5335533229189 5335533308229
41159 39624 39624 33000 1 33000 5336033233629 5336033311149
42183 39657 39657 33000 1 33000 5336533239589 5336533327749
42953 39714 39714 33000 1 33000 5337033225789 5337033301789
43485 39818 39818 33000 1 33000 5337533228709 5337533310789
43797 39781 39781 33000 1 33000 5338033222509 5338033293949
43915 39866 39866 33000 1 33000 5338533225429 5338533304469
43864 39901 39901 33000 1 33000 5339033226829 5339033301309
43672 39917 39917 33000 1 33000 5339533226709 5339533304229
43367 40053 40053 33000 1 33000 5340033225069 5340033298029
42977 39977 39977 33000 1 33000 5340533232549 5340533314629
42528 40234 40234 33000 1 33000 5341033250669 5341033341869
42045 40251 40251 33000 1 33000 5341533238389 5341533323509
41550 40428 40428 33000 1 33000 5342033230669 5342033311229
41064 40275 40275 33000 1 33000 5342533238149 5342533324789
40602 40309 40309 33000 1 33000 5343033230429 5343033309469
40180 40476 40476 33000 1 33000 5343533237909 5343533324549
39806 40359 40359 33000 1 33000 5344033237789 5344033324429
39490 40467 40467 33000 1 33000 5344533239189 5344533325829
39234 40526 40526 33000 1 33000 5345033239069 5345033328749
39041 40387 40387 33000 1 33000 5345533238949 5345533328629
38911 40675 40675 33000 1 33000 5346033234269 5346033322429
38840 40576 40576 33000 1 33000 5346533235669 5346533322309
38825 40527 40527 33000 1 33000 5347033238589 5347033328269
38859 40632 40632 33000 1 33000 5347533250629 5347533347909
38936 40676 40676 33000 1 33000 5348033236829 5348033317389
39050 40784 40784 33000 1 33000 5348533250389 5348533370469
39192 40816 40816 33000 1 33000 5349033244189 5349033336909
39355 40912 40912 33000 1 33000 5349533251669 5349533347429
39533 40758 40758 33000 1 33000 5350033242429 5350033336669
39719 40746 40746 33000 1 33000 5350533243829 5350533333509
39907 40744 40744 33000 1 33000 5351033296909 5351033465629
40091 40839 40839 33000 1 33000 5351533237509 5351533324149
40267 40951 40951 33000 1 33000 5352033238909 5352033327069
40431 40994 40994 33000 1 33000 5352533240309 5352533326949
40581 41048 41048 33000 1 33000 5353033229549 5353033310109
40713 40998 40998 33000 1 33000 5353533238549 5353533325189
40828 41020 41020 33000 1 33000 5354033239949 5354033328109
40925 40981 40981 33000 1 33000 5354533238309 5354533326469
41004 41029 41029 33000 1 33000 5355033224509 5355033300509
41066 40988 40988 33000 1 33000 5355533239589 5355533327749
41112 41107 41107 33000 1 33000 5356033234909 5356033316989
41143 41022 41022 33000 1 33000 5356533239349 5356533325989
41161 41216 41216 33000 1 33000 5357033233149 5357033318269
41168 41133 41133 33000 1 33000 5357533237589 5357533324229
41166 41224 41224 33000 1 33000 5358033242029 5358033327149
41158 41079 41079 33000 1 33000 5358533237349 5358533323989
41144 41164 41164 33000 1 33000 5359033240269 5359033326909
41127 41189 41189 33000 1 33000 5359533238629 5359533331349
41109 41253 41253 33000 1 33000 5360033240029 5360033322109
41091 41112 41112 33000 1 33000 5360533255109 5360533366069
41074 41166 41166 33000 1 33000 5361033239789 5361033327949
41059 41169 41169 33000 1 33000 5361533236629 5361533321749
41047 41130 41130 33000 1 33000 5362033236509 5362033312509
41038 41226 41226 33000 1 33000 5362533237909 5362533318469
41033 41238 41238 33000 1 33000 5363033227149 5363033301629
41032 41255 41255 33000 1 33000 5363533236149 5363533321269
41033 41272 41272 33000 1 33000 5364033237549 5364033324189
41038 41284 41284 33000 1 33000 5364533237429 5364533321029
41047 41389 41389 33000 1 33000 5365033238829 5365033325469
41058 41226 41226 33000 1 33000 5365533237189 5365533323829
41072 41322 41322 33000 1 33000 5366033238589 5366033317629
41088 41253 41253 33000 1 33000 5366533236949 5366533319029
41106 41437 41437 33000 1 33000 5367033235309 5367033321949
41125 41177 41177 33000 1 33000 5367533233669 5367533320309
41145 41261 41261 33000 1 33000 5368033228989 5368033306509
41165 41233 41233 33000 1 33000 5368533237989 5368533321589
41185 41318 41318 33000 1 33000 5369033236349 5369033319949
41205 41304 41304 33000 1 33000 5369533237749 5369533324389
41224 41175 41175 33000 1 33000 5370033225469 5370033302989
41241 41436 41436 33000 1 33000 5370533232949 5370533318069
41257 41302 41302 33000 1 33000 5371033232829 5371033317949
41271 41387 41387 33000 1 33000 5371533235749 5371533322389
41284 41324 41324 33000 1 33000 5372033237149 5372033322269
41294 41372 41372 33000 1 33000 5372533238549 5372533325189
41303 41369 41369 33000 1 33000 5373033233869 5373033318989
41311 41420 41420 33000 1 33000 5373533233749 5373533317349
41317 41454 41454 33000 1 33000 5374033235149 5374033317229
41322 41298 41298 33000 1 33000 5374533231989 5374533317109
41326 41355 41355 33000 1 33000 5375033227309 5375033306349
41330 41392 41392 33000 1 33000 5375533225669 5375533304709
41334 41467 41467 33000 1 33000 5376033234669 5376033318269
41337 41366 41366 33000 1 33000 5376533237589 5376533324229
41340 41414 41414 33000 1 33000 5377033235949 5377033313469
41343 41442 41442 33000 1 33000 5377533237349 5377533320949
41347 41471 41471 33000 1 33000 5378033234189 5378033317789
41350 41546 41546 33000 1 33000 5378533249269 5378533346549
