PV dadobruto dadofapk Escrita ModoOperacao ValorDesejado CicloInicio CicloFim
116483177 40000 40000 65535 1 65535 8874689808752 8874689813552
3539695358 40000 40000 65535 1 65535 8875189781992 8875189785192
3967539143 40000 40000 65535 1 65535 8875689779232 8875689782432
1468996992 40000 40000 65535 1 65535 8876189781272 8876189784472
2140380393 40000 40000 65535 1 65535 8876689781712 8876689784912
2483083092 40000 40000 65535 1 65535 8877189774152 8877189775752
4164182475 40000 40000 65535 1 65535 8877689782592 8877689785792
3977959886 40000 40000 65535 1 65535 8878189775032 8878189776632
3966738849 40000 40000 65535 1 65535 8878689778672 8878689780272
1371453102 40000 40000 65535 1 65535 8879189774312 8879189775912
4031544303 40000 40000 65535 1 65535 8879689781152 8879689784352
3358162056 40000 40000 65535 1 65535 8880189781592 8880189784792
3029939633 40000 40000 65535 1 65535 8880689780432 8880689783632
4052647604 40000 40000 65535 1 65535 8881189780872 8881189784072
2254010691 40000 40000 65535 1 65535 8881689781312 8881689784512
713632342 40000 40000 65535 1 65535 8882189775352 8882189776952
4140901017 40000 40000 65535 1 65535 8882689780592 8882689783792
787520318 40000 40000 65535 1 65535 8883189776232 8883189777832
1034701079 40000 40000 65535 1 65535 8883689778272 8883689781472
684324784 40000 40000 65535 1 65535 8884189777112 8884189778712
2172595001 40000 40000 65535 1 65535 8884689780752 8884689783952
342533300 40000 40000 65535 1 65535 8885189781192 8885189784392
2553175099 40000 40000 65535 1 65535 8885689780032 8885689784832
1217844158 40000 40000 65535 1 65535 8886189774072 8886189775672
1106140241 40000 40000 65535 1 65535 8886689782512 8886689784112
553475758 40000 40000 65535 1 65535 8887189773352 8887189776552
3258195519 40000 40000 65535 1 65535 8887689780192 8887689783392
226084857 40000 40000 65535 1 65535 8888189775832 8888189777432
490680445 40000 40000 65535 1 65535 8888689777872 8888689779472
95783274 40000 40000 65535 1 65535 8889189778312 8889189781512
2429157191 40000 40000 65535 1 65535 8889689778752 8889689781952
1637452076 40000 40000 65535 1 65535 8890189780792 8890189783992
309653757 40000 40000 65535 1 65535 8890689781232 8890689782832
1219280248 40000 40000 65535 1 65535 8891189778472 8891189780072
1665439715 40000 40000 55000 1 55000 8891689782112 8891689785312
3530629698 40000 40000 55000 1 55000 8892189774552 8892189777752
1057534213 40000 40000 55000 1 55000 8892689779792 8892689782992
3360483930 40000 40000 55000 1 55000 8893189775432 8893189777032
101933439 40000 40000 55000 1 55000 8893689777472 8893689780672
1746772564 40000 40000 55000 1 55000 8894189773112 8894189774712
3829652981 40000 40000 55000 1 55000 8894689779952 8894689783152
3225848409 40000 40000 55000 1 55000 8895189775592 8895189778792
4279286023 40000 40000 55000 1 55000 8895689780832 8895689784032
2124101632 40000 40000 55000 1 55000 8896189773272 8896189774872
3848225121 40000 40000 55000 1 55000 8896689780112 8896689783312
515472591 40000 40000 55000 1 55000 8897189774152 8897189777352
3739021807 40000 40000 55000 1 55000 8897689779392 8897689782592
1359423104 40000 40000 55000 1 55000 8898189775032 8898189776632
1432357397 40000 40000 55000 1 55000 8898689775472 8898689778672
719439637 40000 40000 55000 1 55000 8899189774312 8899189775912
2008838135 40000 40000 55000 1 55000 8899689779552 8899689784352
3370777940 40000 40000 55000 1 55000 8900189779992 8900189783192
2880672961 40000 40000 55000 1 55000 8900689777232 8900689780432
277538755 40000 40000 55000 1 55000 8901189776072 8901189779272
1601701535 40000 40000 55000 1 55000 8901689779712 8901689782912
1562601548 40000 40000 55000 1 55000 8902189773752 8902189775352
3056303669 40000 40000 55000 1 55000 8902689778992 8902689782192
3835379473 40000 40000 55000 1 55000 8903189774632 8903189777832
2259117223 40000 40000 55000 1 55000 8903689776672 8903689779872
1994460360 40000 40000 55000 1 55000 8904189773912 8904189777112
2500486945 40000 40000 55000 1 55000 8904689779152 8904689783952
1952400823 40000 40000 55000 1 55000 8905189779592 8905189782792
251047823 40000 40000 55000 1 55000 8905689778432 8905689781632
1232425272 40000 40000 55000 1 55000 8906189774072 8906189777272
2592348757 40000 40000 55000 1 55000 8906689779312 8906689782512
4277355982 40000 40000 55000 1 55000 8907189773352 8907189776552
3626057491 40000 40000 55000 1 55000 8907689778592 8907689781792
1287529714 40000 40000 55000 1 55000 8908189772632 8908189774232
1948900373 40000 40000 55000 1 55000 8908689774672 8908689777872
1531933520 40000 40000 55000 1 55000 8909189773512 8909189776712
1457582583 40000 40000 55000 1 55000 8909689778752 8909689781952
3855107368 40000 40000 55000 1 55000 8910189779192 8910189782392
1402340445 40000 40000 55000 1 55000 8910689778032 8910689781232
3409349766 40000 40000 55000 1 55000 8911189776872 8911189780072
3065361035 40000 40000 55000 1 55000 8911689778912 8911689783712
479894386 40000 40000 55000 1 55000 8912189771352 8912189772952
1448197069 40000 40000 55000 1 55000 8912689778192 8912689781392
4168077320 40000 40000 55000 1 55000 8913189772232 8913189773832
1297418976 40000 40000 55000 1 55000 8913689775872 8913689779072
322306868 40000 40000 55000 1 55000 8914189779512 8914189782712
3141596219 40000 40000 55000 1 55000 8914689778352 8914689781552
3020816819 40000 40000 55000 1 55000 8915189778792 8915189781992
763661860 40000 40000 55000 1 55000 8915689779232 8915689784032
2189781408 40000 40000 55000 1 55000 8916189778072 8916189781272
2458414397 40000 40000 55000 1 55000 8916689778512 8916689781712
791200493 40000 40000 55000 1 55000 8917189777352 8917189780552
3929242684 40000 40000 55000 1 55000 8917689777792 8917689780992
1054311184 40000 40000 55000 1 55000 8918189778232 8918189781432
3507231223 40000 40000 55000 1 55000 8918689775472 8918689780272
215818815 40000 40000 55000 1 55000 8919189777512 8919189782312
2557435688 40000 40000 55000 1 55000 8919689777952 8919689782752
1854078884 40000 40000 55000 1 55000 8920189778392 8920189781592
3709510449 40000 40000 55000 1 55000 8920689777232 8920689780432
2437665745 40000 40000 55000 1 55000 8921189777672 8921189780872
1005954424 40000 40000 55000 1 55000 8921689778112 8921689781312
1525133644 40000 40000 55000 1 55000 8922189778552 8922189781752
511103475 40000 40000 55000 1 55000 8922689778992 8922689782192
683609483 40000 40000 55000 1 55000 8923189777832 8923189781032
3144344588 40000 40000 55000 1 55000 8923689775072 8923689779872
3684400649 40000 40000 55000 1 55000 8924189777112 8924189780312
3079679009 40000 40000 55000 1 55000 8924689777552 8924689780752
1574479179 40000 40000 55000 1 55000 8925189781192 8925189785992
4292940712 40000 40000 55000 1 55000 8925689778432 8925689783232
3983901581 40000 40000 55000 1 55000 8926189777272 8926189782072
2020404455 40000 40000 55000 1 55000 8926689777712 8926689780912
208935291 40000 40000 55000 1 55000 8927189776552 8927189779752
1451101496 40000 40000 55000 1 55000 8927689776992 8927689780192
3220397833 40000 40000 55000 1 55000 8928189777432 8928189780632
2976770526 40000 40000 55000 1 55000 8928689776272 8928689779472
544384247 40000 40000 55000 1 55000 8929189775112 8929189779912
4246615186 40000 40000 55000 1 55000 8929689777152 8929689780352
1407964641 40000 40000 55000 1 55000 8930189777592 8930189780792
3527943552 40000 40000 55000 1 55000 8930689778032 8930689782832
3277564003 40000 40000 55000 1 55000 8931189776872 8931189781672
756649832 40000 40000 55000 1 55000 8931689778912 8931689782112
2094392433 40000 40000 55000 1 55000 8932189777752 8932189780952
4211234198 40000 40000 55000 1 55000 8932689776592 8932689779792
2026221103 40000 40000 55000 1 55000 8933189781832 8933189786632
527576530 40000 40000 55000 1 55000 8933689777472 8933689782272
3217185913 40000 40000 55000 1 55000 8934189776312 8934189779512
2613474104 40000 40000 55000 1 55000 8934689776752 8934689779952
