PV dadobruto dadofapk Escrita ModoOperacao ValorDesejado CicloInicio CicloFim
115762017 40000 40000 65535 1 65535 3093046198681 3093046203241
3541858838 40000 40000 65535 1 65535 3093146166129 3093146170689
2565086259 40000 40000 65535 1 65535 3093246167017 3093246171577
2315142681 40000 40000 65535 1 65535 3093346160305 3093346163345
4016027280 40000 40000 65535 1 65535 3093446165753 3093446168793
3488111143 40000 40000 65535 1 65535 3093546159041 3093546160561
1665982284 40000 40000 65535 1 65535 3093646166009 3093646169049
1273432428 40000 40000 65535 1 65535 3093746168417 3093746172977
1302283067 40000 40000 65535 1 65535 3093846166265 3093846169305
2768676628 40000 40000 65535 1 65535 3093946165633 3093946168673
122326833 40000 40000 65535 1 65535 3094046160441 3094046163481
2186511947 40000 40000 65535 1 65535 3094146165889 3094146170449
3913445378 40000 40000 65535 1 65535 3094246159177 3094246160697
2329541181 40000 40000 65535 1 65535 3094346158545 3094346160065
1283101314 40000 40000 65535 1 65535 3094446165513 3094446170073
1705399830 40000 40000 65535 1 65535 3094546160321 3094546161841
2313593733 40000 40000 65535 1 65535 3094646159689 3094646161209
3116690690 40000 40000 65535 1 65535 3094746159057 3094746160577
4202319839 40000 40000 65535 1 65535 3094846159945 3094846161465
776081965 40000 40000 65535 1 65535 3094946166913 3094946171473
4146676836 40000 40000 65535 1 65535 3095046166281 3095046170841
1781143747 40000 40000 65535 1 65535 3095146167169 3095146171729
3639029224 40000 40000 65535 1 65535 3095246165017 3095246168057
344544240 40000 40000 65535 1 65535 3095346161345 3095346164385
4171741503 40000 40000 65535 1 65535 3095446165273 3095446169833
3563853536 40000 40000 65535 1 65535 3095546160081 3095546161601
2942210877 40000 40000 65535 1 65535 3095646160969 3095646162489
1356772543 40000 40000 65535 1 65535 3095746163377 3095746166417
1442801846 40000 40000 65535 1 65535 3095846167305 3095846170345
820871353 40000 40000 65535 1 65535 3095946165153 3095946169713
1165878910 40000 40000 65535 1 65535 3096046167561 3096046170601
463785466 40000 40000 65535 1 65535 3096146166929 3096146171489
3603806569 40000 40000 65535 1 65535 3096246161737 3096246164777
3088117678 40000 40000 65535 1 65535 3096346162625 3096346165665
1659014731 40000 40000 65535 1 65535 3096446166553 3096446169593
2906536193 40000 40000 65535 1 65535 3096546161361 3096546162881
1118835192 40000 40000 65535 1 65535 3096646160729 3096646162249
2721643807 40000 40000 65535 1 65535 3096746166177 3096746167697
3475632452 40000 40000 65535 1 65535 3096846164025 3096846167065
1041076020 40000 40000 65535 1 65535 3096946164913 3096946167953
1631836419 40000 40000 65535 1 65535 3097046162761 3097046165801
667435628 40000 40000 65535 1 65535 3097146160609 3097146163649
1374778889 40000 40000 65535 1 65535 3097246166057 3097246170617
108358131 40000 40000 65535 1 65535 3097346166945 3097346171505
4196824362 40000 40000 65535 1 65535 3097446164793 3097446169353
2166446325 40000 40000 65535 1 65535 3097546161121 3097546164161
3000402746 40000 40000 65535 1 65535 3097646158969 3097646162009
1054368414 40000 40000 65535 1 65535 3097746159857 3097746162897
3572845837 40000 40000 65535 1 65535 3097846159225 3097846162265
3869694490 40000 40000 65535 1 65535 3097946160113 3097946163153
3111550839 40000 40000 65535 1 65535 3098046164041 3098046167081
530125461 40000 40000 65535 1 65535 3098146164929 3098146169489
3108882252 40000 40000 65535 1 65535 3098246167337 3098246171897
2428198715 40000 40000 65535 1 65535 3098346159105 3098346162145
762237280 40000 40000 65535 1 65535 3098446166073 3098446170633
3776582456 40000 40000 65535 1 65535 3098546173041 3098546180641
1858947719 40000 40000 65535 1 65535 3098646167849 3098646172409
3082912184 40000 40000 65535 1 65535 3098746159617 3098746162657
3596410773 40000 40000 65535 1 65535 3098846165065 3098846169625
3149790695 40000 40000 65535 1 65535 3098946159873 3098946162913
3172023646 40000 40000 65535 1 65535 3099046165321 3099046169881
2484853489 40000 40000 65535 1 65535 3099146169249 3099146175329
2078150838 40000 40000 65535 1 65535 3099246164057 3099246167097
3890703362 40000 40000 65535 1 65535 3099346164945 3099346169505
1807156849 40000 40000 65535 1 65535 3099446167353 3099446171913
1580008518 40000 40000 65535 1 65535 3099546165201 3099546169761
3851406179 40000 40000 65535 1 65535 3099646164569 3099646169129
2650339049 40000 40000 65535 1 65535 3099746165457 3099746170017
1113328736 40000 40000 65535 1 65535 3099846170905 3099846175465
1314363159 40000 40000 65535 1 65535 3099946165713 3099946170273
3675223612 40000 40000 65535 1 65535 3100046163561 3100046168121
374683644 40000 40000 65535 1 65535 3100146169009 3100146175089
144553419 40000 40000 65535 1 65535 3100246171417 3100246177497
2633903300 40000 40000 65535 1 65535 3100346160145 3100346163185
603617249 40000 40000 65535 1 65535 3100446165593 3100446170153
2304690331 40000 40000 65535 1 65535 3100546168001 3100546171041
2249812306 40000 40000 65535 1 65535 3100646161289 3100646164329
2189647533 40000 40000 65535 1 65535 3100746166737 3100746171297
2280535794 40000 40000 65535 1 65535 3100846166105 3100846170665
796410406 40000 40000 65535 1 65535 3100946163953 3100946166993
2188152213 40000 40000 65535 1 65535 3101046164841 3101046167881
927581746 40000 40000 65535 1 65535 3101146161169 3101146164209
3465026063 40000 40000 65535 1 65535 3101246159017 3101246162057
1090797053 40000 40000 65535 1 65535 3101346159905 3101346162945
3308554548 40000 40000 65535 1 65535 3101446166873 3101446171433
4088659123 40000 40000 65535 1 65535 3101546169281 3101546175361
3211102168 40000 40000 65535 1 65535 3101646161049 3101646164089
4133836160 40000 40000 65535 1 65535 3101746168017 3101746172577
370066127 40000 40000 65535 1 65535 3101846165865 3101846170425
4028930960 40000 40000 65535 1 65535 3101946160673 3101946163713
572778221 40000 40000 65535 1 65535 3102046166121 3102046170681
2281579023 40000 40000 65535 1 65535 3102146159409 3102146162449
1016635654 40000 40000 65535 1 65535 3102246163337 3102246166377
1694383145 40000 40000 65535 1 65535 3102346161185 3102346162705
3194002926 40000 40000 65535 1 65535 3102446166633 3102446171193
774978826 40000 40000 65535 1 65535 3102546159921 3102546162961
7309945 40000 40000 65535 1 65535 3102646159289 3102646162329
2325968862 40000 40000 65535 1 65535 3102746160177 3102746163217
1538855803 40000 40000 65535 1 65535 3102846161065 3102846162585
560021457 40000 40000 65535 1 65535 3102946168033 3102946172593
691070408 40000 40000 65535 1 65535 3103046165881 3103046170441
2574706703 40000 40000 65535 1 65535 3103146160689 3103146163729
3251285556 40000 40000 65535 1 65535 3103246163097 3103246166137
2582692804 40000 40000 65535 1 65535 3103346160945 3103346163985
2121931155 40000 40000 65535 1 65535 3103446167913 3103446172473
3386582556 40000 40000 65535 1 65535 3103546165761 3103546170321
3090339001 40000 40000 65535 1 65535 3103646171209 3103646175769
3494011459 40000 40000 65535 1 65535 3103746167537 3103746172097
3353906298 40000 40000 65535 1 65535 3103846165385 3103846169945
1412615013 40000 40000 65535 1 65535 3103946160193 3103946163233
110030250 40000 40000 65535 1 65535 3104046165641 3104046168681
4239963310 40000 40000 65535 1 65535 3104146160449 3104146163489
3441009949 40000 40000 65535 1 65535 3104246167417 3104246170457
1893757258 40000 40000 65535 1 65535 3104346166785 3104346171345
1954308007 40000 40000 65535 1 65535 3104446166153 3104446170713
1471566949 40000 40000 65535 1 65535 3104546167041 3104546170081
1437256220 40000 40000 65535 1 65535 3104646167929 3104646172489
1481027883 40000 40000 65535 1 65535 3104746165777 3104746170337
3382219088 40000 40000 65535 1 65535 3104846168185 3104846171225
429775560 40000 40000 65535 1 65535 3104946159953 3104946162993
691626519 40000 40000 65535 1 65535 3105046163881 3105046168441
1120412776 40000 40000 65535 1 65535 3105146167809 3105146170849
3447777605 40000 40000 65535 1 65535 3105246168697 3105246173257
2060575031 40000 40000 65535 1 65535 3105346169585 3105346174145
258134958 40000 40000 65535 1 65535 3105446167433 3105446171993
1757897825 40000 40000 65535 1 65535 3105546168321 3105546172881
1204997670 40000 40000 65535 1 65535 3105646172249 3105646178329
3014983954 40000 40000 65535 1 65535 3105746167057 3105746171617
3485762945 40000 40000 65535 1 65535 3105846167945 3105846172505
44501622 40000 40000 65535 1 65535 3105946168833 3105946173393
2860691 40000 40000 65535 1 65535 3106046168201 3106046172761
4238988217 40000 40000 65535 1 65535 3106146178209 3106146185809
838590000 40000 40000 65535 1 65535 3106246169977 3106246174537
1221177351 40000 40000 65535 1 65535 3106346167825 3106346173905
3190348076 40000 40000 65535 1 65535 3106446167193 3106446173273
2383606412 40000 40000 65535 1 65535 3106546168081 3106546172641
4255532123 40000 40000 65535 1 65535 3106646165929 3106646170489
1938943604 40000 40000 65535 1 65535 3106746169857 3106746174417
1231539345 40000 40000 65535 1 65535 3106846166185 3106846170745
2689791723 40000 40000 65535 1 65535 3106946168593 3106946173153
4200668834 40000 40000 65535 1 65535 3107046166441 3107046172521
3143786269 40000 40000 65535 1 65535 3107146165809 3107146170369
1770383202 40000 40000 65535 1 65535 3107246168217 3107246171257
1808562742 40000 40000 65535 1 65535 3107346166065 3107346170625
4022981541 40000 40000 65535 1 65535 3107446166953 3107446171513
1486723938 40000 40000 65535 1 65535 3107546166321 3107546170881
3860893759 40000 40000 65535 1 65535 3107646167209 3107646171769
685905357 40000 40000 65535 1 65535 3107746168097 3107746172657
2776484356 40000 40000 65535 1 65535 3107846167465 3107846170505
2208709795 40000 40000 65535 1 65535 3107946163793 3107946166833
2262117832 40000 40000 65535 1 65535 3108046164681 3108046169241
267805456 40000 40000 65535 1 65535 3108146170129 3108146174689
3810158687 40000 40000 65535 1 65535 3108246167977 3108246172537
1960762432 40000 40000 65535 1 65535 3108346167345 3108346171905
323036829 40000 40000 65535 1 65535 3108446162153 3108446165193
1500248927 40000 40000 65535 1 65535 3108546163041 3108546166081
1883051350 40000 40000 65535 1 65535 3108646160889 3108646163929
1688867737 40000 40000 65535 1 65535 3108746161777 3108746163297
1392632158 40000 40000 65535 1 65535 3108846164185 3108846167225
1034254362 40000 40000 65535 1 65535 3108946162033 3108946165073
344143753 40000 40000 65535 1 65535 3109046165961 3109046170521
2339011598 40000 40000 65535 1 65535 3109146165329 3109146169889
229950635 40000 40000 65535 1 65535 3109246161657 3109246163177
4110774945 40000 40000 65535 1 65535 3109346161025 3109346164065
2542417304 40000 40000 65535 1 65535 3109446161913 3109446164953
562212607 40000 40000 65535 1 65535 3109546161281 3109546162801
