 < 15:30:30 >  25,2893505096436 0 
 < 15:30:31 >  25,2893505096436 0 
 < 15:30:32 >  25,2893505096436 0 
 < 15:30:33 >  25,318286895752 0 
 < 15:30:34 >  25,318286895752 0 
 < 15:30:35 >  25,318286895752 0 
 < 15:30:36 >  25,2893505096436 0 
 < 15:30:37 >  25,318286895752 0 
 < 15:30:38 >  25,318286895752 0 
 < 15:30:39 >  25,318286895752 0 
 < 15:30:40 >  25,2893505096436 0 
 < 15:30:41 >  25,2893505096436 0 
 < 15:30:42 >  25,2893505096436 0 
 < 15:30:43 >  25,318286895752 0 
 < 15:30:44 >  25,2893505096436 0 
 < 15:30:45 >  25,318286895752 0 
 < 15:30:46 >  25,2893505096436 0 
 < 15:30:47 >  25,2893505096436 0 
 < 15:30:48 >  25,2893505096436 0 
 < 15:30:49 >  25,2893505096436 0 
 < 15:30:50 >  25,2604160308838 0 
 < 15:30:51 >  25,2893505096436 0 
 < 15:30:52 >  25,318286895752 0 
 < 15:30:53 >  25,318286895752 0 
 < 15:30:54 >  25,2893505096436 0 
 < 15:30:55 >  25,318286895752 0 
 < 15:30:56 >  25,2893505096436 0 
 < 15:30:57 >  25,318286895752 0 
 < 15:30:58 >  25,318286895752 0 
 < 15:30:59 >  25,318286895752 0 
 < 15:31:00 >  25,2893505096436 0 
 < 15:31:01 >  25,318286895752 0 
 < 15:31:02 >  25,318286895752 0 
 < 15:31:03 >  25,318286895752 0 
 < 15:31:04 >  25,2893505096436 0 
 < 15:31:05 >  25,318286895752 0 
 < 15:31:06 >  25,2893505096436 0 
 < 15:31:07 >  25,318286895752 0 
 < 15:31:08 >  25,318286895752 0 
 < 15:31:09 >  25,318286895752 0 
 < 15:31:10 >  25,318286895752 0 
 < 15:31:11 >  25,318286895752 0 
 < 15:31:12 >  25,318286895752 0 
 < 15:31:13 >  25,2893505096436 0 
 < 15:31:14 >  25,318286895752 0 
 < 15:31:15 >  25,318286895752 0 
 < 15:31:16 >  25,318286895752 0 
 < 15:31:17 >  25,2893505096436 0 
 < 15:31:18 >  25,318286895752 0 
 < 15:31:19 >  25,318286895752 0 
 < 15:31:20 >  25,318286895752 0 
 < 15:31:21 >  25,318286895752 0 
 < 15:31:22 >  25,318286895752 0 
 < 15:31:23 >  25,2893505096436 0 
 < 15:31:24 >  25,318286895752 0 
 < 15:31:25 >  25,318286895752 0 
 < 15:31:26 >  25,318286895752 0 
 < 15:31:27 >  25,2893505096436 0 
 < 15:31:28 >  25,3472213745117 0 
 < 15:31:29 >  25,3472213745117 0 
 < 15:31:30 >  25,3472213745117 0 
 < 15:31:31 >  25,318286895752 0 
 < 15:31:32 >  25,3472213745117 0 
 < 15:31:33 >  25,318286895752 0 
 < 15:31:34 >  25,3472213745117 0 
 < 15:31:35 >  25,3472213745117 0 
 < 15:31:36 >  25,3472213745117 0 
 < 15:31:37 >  25,3472213745117 0 
 < 15:31:38 >  25,3472213745117 0 
 < 15:31:39 >  25,3472213745117 0 
 < 15:31:40 >  25,3472213745117 0 
 < 15:31:41 >  25,3472213745117 0 
 < 15:31:42 >  25,3472213745117 0 
 < 15:31:43 >  25,3472213745117 0 
 < 15:31:44 >  25,318286895752 0 
 < 15:31:45 >  25,3472213745117 0 
 < 15:31:46 >  25,3472213745117 0 
 < 15:31:47 >  25,3472213745117 0 
 < 15:31:48 >  25,318286895752 0 
 < 15:31:49 >  25,3472213745117 0 
 < 15:31:50 >  25,318286895752 0 
 < 15:31:51 >  25,3472213745117 0 
 < 15:31:52 >  25,3472213745117 0 
 < 15:31:53 >  25,3472213745117 0 
 < 15:31:54 >  25,318286895752 0 
 < 15:31:55 >  25,3472213745117 0 
 < 15:31:56 >  25,3472213745117 0 
 < 15:31:57 >  25,3761577606201 0 
 < 15:31:58 >  25,3472213745117 0 
 < 15:31:59 >  25,3472213745117 0 
 < 15:32:00 >  25,3761577606201 0 
 < 15:32:01 >  25,318286895752 0 
 < 15:32:02 >  25,3761577606201 40 
 < 15:32:03 >  25,318286895752 40 
 < 15:32:04 >  25,3472213745117 40 
 < 15:32:05 >  25,3472213745117 40 
 < 15:32:06 >  25,3761577606201 40 
 < 15:32:07 >  25,3761577606201 40 
 < 15:32:08 >  25,4050922393799 40 
 < 15:32:09 >  25,4340267181396 40 
 < 15:32:10 >  25,462963104248 40 
 < 15:32:11 >  25,4340267181396 40 
 < 15:32:12 >  25,4918975830078 40 
 < 15:32:13 >  25,4918975830078 40 
 < 15:32:14 >  25,5208320617676 40 
 < 15:32:15 >  25,549768447876 40 
 < 15:32:16 >  25,5787029266357 40 
 < 15:32:17 >  25,549768447876 40 
 < 15:32:18 >  25,6076393127441 40 
 < 15:32:19 >  25,6365737915039 40 
 < 15:32:20 >  25,6655082702637 40 
 < 15:32:21 >  25,6655082702637 40 
 < 15:32:22 >  25,6944446563721 40 
 < 15:32:23 >  25,6944446563721 40 
 < 15:32:24 >  25,7233791351318 40 
 < 15:32:25 >  25,7523136138916 40 
 < 15:32:26 >  25,8101844787598 40 
 < 15:32:27 >  25,8391208648682 40 
 < 15:32:28 >  25,8391208648682 40 
 < 15:32:29 >  25,8680553436279 40 
 < 15:32:30 >  25,8969898223877 40 
 < 15:32:31 >  25,9259262084961 40 
 < 15:32:32 >  25,9259262084961 40 
 < 15:32:33 >  25,9837951660156 40 
 < 15:32:34 >  25,9837951660156 40 
 < 15:32:35 >  26,0416660308838 40 
 < 15:32:36 >  26,0706005096436 40 
 < 15:32:37 >  26,099536895752 40 
 < 15:32:38 >  26,1284713745117 40 
 < 15:32:39 >  26,1284713745117 40 
 < 15:32:40 >  26,1863422393799 40 
 < 15:32:41 >  26,2152767181396 40 
 < 15:32:42 >  26,2152767181396 40 
 < 15:32:43 >  26,2731475830078 40 
 < 15:32:44 >  26,2731475830078 40 
 < 15:32:45 >  26,331018447876 40 
 < 15:32:46 >  26,3599529266357 40 
 < 15:32:47 >  26,3888893127441 40 
 < 15:32:48 >  26,3888893127441 40 
 < 15:32:49 >  26,4467582702637 40 
 < 15:32:50 >  26,4756946563721 40 
 < 15:32:51 >  26,5046291351318 40 
 < 15:32:52 >  26,5335636138916 40 
 < 15:32:53 >  26,5914344787598 40 
 < 15:32:54 >  26,5914344787598 40 
 < 15:32:55 >  26,6203708648682 40 
